hash,move,score - This file contains all positions with 4 to 6 moves on a 8x7 board.
72340172871633413,3,5
72340172838077463,1,-2
72903127086465547,4,2
72904222303126789,3,3
72340172871762949,4,2
144397775465940229,3,7
72340172838339083,2,0
72623846838043147,6,4
72341280939640069,5,4
72342371878110469,3,3
72621656404722949,1,5
144960716829426949,3,5
360570548989788683,4,3
216455360913932822,2,2
73466072744920325,3,4
144399965899261189,3,5
73747547721629973,6,4
720858519179428109,3,5
72342371861464069,2,5
72340172838143243,1,-2
72340181428143109,2,5
144397766876135947,4,3
72621647814789893,3,3
72344570884588805,3,-3
72340190018077189,5,2
72621656404722187,1,4
72340172854985989,2,-2
72340190017946885,4,2
72342371861660165,4,6
72340181444919813,4,4
72340172838470661,2,5
72340177166729733,3,2
72340172855247365,2,4
144397766876007173,3,3
72340172838863365,1,3
72621647848473093,4,6
72621656404853253,3,6
72340172838144773,5,2
216456460425560587,4,0
72903122791564549,5,0
72340172871633157,2,25
72342371878240773,3,5
72340181461566469,5,24
72342371894887429,4,24
216455365208900107,4,-3
360570548989789445,3,3
216736835890644229,3,3
72623846838043909,3,3
72621647815180805,2,6
72340172871893509,2,3
216455360930710789,4,-2
72621647814788363,3,-2
144397766909690373,3,6
72340172905316869,1,0
72903122791825925,3,5
72340172921963019,1,4
72341272383390213,3,4
72903122808406533,3,4
72342376156430853,2,2
72340181461631493,4,7
72340172838210053,3,2
72340190051500549,5,24
216455360914064389,2,2
72340181428077829,2,5
216455360930841093,3,3
72340172838405381,4,5
72342371894952453,3,6
72344570918142469,4,24
144399965899391493,2,7
72623846838174213,2,6
144397766876398085,5,7
144397775466070533,2,6
72340172938740741,4,8
72903122825053189,3,5
216455360947487749,3,0
72621656438276613,3,8
144397775499493893,5,24
144399965932814853,4,24
72340172854854923,3,-5
72903122825118213,3,7
217019410378981642,5,2
72621647915450885,3,8
72342380451267589,3,24
72903131381433349,5,24
72342376189854213,4,2
72340198607881221,4,17
72340172922094085,3,7
72342380451332613,6,24
72903131381498373,5,24
72340181428339205,4,7
72340181495120389,5,24
72340172938805765,6,7
72340181511897605,3,7
72340173039403525,3,5
144960716829426187,4,3
72341280973193733,3,5
144397766976668165,4,8
72342371861398789,4,0
72340181428273669,5,4
72341280939770373,2,4
72903122791629829,2,3
72623846871597573,4,5
72340172871959045,2,6
72340177233707525,3,4
72344579474522629,3,24
216455365242454533,3,3
72340198607946245,4,8
72340194312914181,3,5
72342371945218565,5,6
73466081334854149,5,24
72903122875384325,3,6
144397792645808645,4,16
144399974489195013,3,24
72340198624657925,4,6
72623855427977733,4,8
72340194312913419,3,2
72340177133437445,4,4
72905321814754309,4,24
216457559937188869,4,5
216455360997818885,4,5
72342393336168965,4,5
72905321814819333,4,24
72346769907844101,5,17
72342371928441349,4,24
216455369520644613,5,5
72905321831531013,4,4
216457559953965573,4,5
72342389041201669,3,24
72346769907909125,5,8
72342380468044293,4,6
72903127120019973,3,4
72346769924620805,5,6
72341272450368005,3,6
72342371861594629,4,4
72341272350097925,2,4
216455369503867909,4,6
72340194346467845,4,5
216457559937253893,4,4
72903131398210053,4,6
72904222336680453,3,5
73468271768175109,4,24
216455365209031173,2,0
360570557579723269,5,7
72903144266334725,4,5
72904222303126027,5,2
72340181428013317,1,2
72342371861334277,5,3
360572748013044229,4,7
72903122791500037,3,3
216455382388769285,4,4
144404363945771525,5,7
144960716862980613,3,6
144960725419360773,4,6
217018310884131333,4,5
72903139971367429,5,24
72628244884554245,2,6
73466072778473989,4,4
72907520838009349,4,24
74029026993308165,6,2
72345670396216581,3,4
72340172921963781,3,4
72340194313044485,4,4
72621673584591365,5,8
72903122858607109,4,0
72345670429770245,3,5
74029022698406405,6,5
216455360947552773,3,5
72353366977610245,4,4
74029022698341381,4,5
72346774202810885,3,2
216736835924197893,3,5
360570549023343109,3,6
217018310867354629,4,3
217018310867419653,4,4
72341298119508485,4,6
72344570884719109,5,4
74029022715118085,3,4
216736835890774533,2,3
72903127086596613,4,-2
146086616736268805,6,5
216455369503932933,4,5
72340224377684485,3,5
216455360981041669,3,0
72905326109721093,3,-3
216459758960443909,4,3
73747547755184645,3,6
216736844480578053,4,6
216455360913934853,2,2
216455360913999109,2,-2
72345670396346885,2,4
216455360914260485,4,5
360852028261466375,3,0
72345670396215819,5,5
73747547721630219,4,4
216456460459115013,3,5
216456460425691653,2,0
360852024000053510,4,6
216455378093801989,4,2
360570548989919749,4,4
361414973919920391,3,0
216456469015495173,4,5
144962915852681733,4,4
216457564232155653,3,-4
73749746744885765,2,5
73747547721630981,3,4
216455360913934597,3,-3
360852023966630150,3,5
73747556311564805,4,6
72904230893060613,4,3
72340172838404619,4,5
72340172854919447,4,-3
73747547721761285,5,5
72345678986150405,5,6
217018315162321413,3,-4
216739034913899013,2,3
217581260820775429,4,3
360852023966499589,3,4
72903122791760389,6,-2
72340172854919947,3,2
72903122808340747,4,-2
72340172838273303,3,-4
72903122791694603,4,-3
72342371878174987,3,2
72340181428207883,4,2
72340181428076822,4,4
75717872558604805,4,6
73466072745050629,2,3
72340177133110027,4,0
72342376156365067,2,0
216455360930775307,4,-1
72340172838600971,3,-4
72908620349637125,3,5
72342371861397782,3,2
72340177166663947,2,2
216460858472071685,3,4
72340181444854027,3,4
216455360913998102,3,0
72903127086530827,3,-3
72904222303257093,2,3
72340172871827723,2,0
72341272383324427,3,2
216455365208965387,3,-3
360852023966499590,4,4
72341272349966603,3,0
72340177133109527,3,-5
360852032556433670,3,6
72903122791563542,3,4
72340172871696662,2,5
72340172838338838,3,-1
