hash,move,score - This file contains all positions with 6 moves on a 7x6 board.
4467305070725,3,12
4467309199493,1,18
13229038338181,3,2
4432945234699,1,3
4468110278795,4,-2
8830991843461,3,10
8830995972229,1,18
8831797084293,3,17
4432945316229,2,4
4432955719819,5,1
4432955720069,5,3
13263397994885,3,3
4604483879045,5,3
22093584416902,3,0
4432949510277,2,4
13229048742021,2,0
4432949428997,3,3
4434828476549,2,17
4432970399877,1,4
4434824282251,4,-3
4467317555333,3,12
4433494687877,3,5
4502472114309,3,-2
4501675196549,3,3
8831004328069,3,10
8831801245829,2,17
4433482203269,2,3
4432955752581,3,4
8899711222149,4,4
8899444883845,3,1
4605012361477,1,2
4502205776005,4,2
4502201581957,4,2
4432945266838,2,0
13229575127429,4,2
13263402188933,2,4
4435092717957,3,6
4435096912005,1,6
13229038256278,4,0
4501664792709,2,4
4571189493893,3,17
4435092750469,3,4
22024864940295,1,2
4503543758981,3,17
4432945267461,2,3
13263398027397,3,4
4570388381829,1,1
22025131278475,3,2
4433750541061,3,2
8899444916357,5,2
8899715416197,4,4
9036883837061,5,2
4604743926149,3,3
4435092717707,3,-2
4438045507717,3,0
4570384187781,1,2
8830991745175,3,2
8899711254661,2,4
4432949428374,3,0
4433750622341,2,2
13366210871429,3,-3
8833407664261,3,2
4468110279045,4,2
4468110311557,2,0
4435363250309,3,-2
4604743958661,3,3
4604748120197,5,5
13229579321477,4,2
4502201614469,4,2
13229038256901,3,2
4435361153162,3,-1
13230917304453,3,-3
8831797051781,3,0
4604743925899,3,3
9037150175365,5,5
13400836948101,3,3
4639640535173,5,2
4535756046475,3,3
22025131311238,4,2
4845262094469,2,2
4535760208011,3,5
4467036537005,3,3
4605014458501,5,2
4468114473093,5,-1
13231185739909,2,0
4435361169541,2,2
4570115752086,3,0
4570384187531,1,-1
22093582336134,3,3
4535756013963,3,0
22024862908550,3,0
4501664711429,5,1
8865083080843,3,4
4570384220293,5,2
4535756046725,3,18
4535760208261,2,18
4433761026181,3,2
22025399730310,1,1
8865083048331,3,4
8968162263179,3,0
8865083081093,3,18
8865087242629,2,18
4707554705547,3,-1
22024867053702,2,4
4467573407894,3,0
4535756014469,3,4
8900516528261,3,0
4467036618891,3,3
8899442803077,2,-2
4467036538501,3,2
8865087242379,3,5
4570115752709,3,4
4535760240773,1,18
4535756112005,3,10
4707554738309,3,17
22025401811078,1,-1
8865083146373,3,7
8865087275141,1,18
8865083048837,3,4
8968162295941,3,17
4467047022731,2,-2
4535756013719,3,-3
22024862892167,0,0
4467036537238,3,0
4467047022981,6,2
4467036733573,3,3
4432945234326,4,0
22024862859405,2,1
13229575159941,3,-2
4707558899845,2,17
22024862859527,3,2
4536297078917,4,2
13298294603909,4,-2
8968166457477,2,17
8865619951749,1,3
13331849036165,3,0
4467061702789,3,4
4468378747013,3,10
4467047055493,3,4
4468382908549,3,11
4535768596613,3,4
4468378714501,3,4
4708091576453,3,17
8865095630981,3,5
8865083048087,3,0
4467040731909,3,5
4467040813189,4,2
4467040731286,5,2
4707554705797,3,0
8865624113285,3,3
13366477209733,2,-2
4467036619141,2,4
26423177789579,3,3
13263140044933,5,4
8968699134085,2,0
8865619919237,4,4
4537366626437,4,4
4467583893637,3,4
4503812194437,4,-1
4741914476677,3,5
8899711221899,3,0
4741918638213,2,5
13263129559307,3,-2
4571457929349,3,1
4536292917381,4,2
13503647727749,3,1
5119871565957,3,0
4536292884869,1,2
4741914444165,3,4
13264471736453,3,3
4570126237829,3,3
13263129641093,2,2
4605549232261,4,2
22024862859654,3,1
4470257762437,1,2
9174320693381,2,4
4501664710806,4,0
4776274182405,4,3
13263129559190,3,0
4468378714251,3,2
4741914443915,3,-2
4467573489797,4,4
13331853230213,1,0
8968162263429,1,2
22024862843526,3,0
17626816364683,3,4
22093582319878,3,3
8831260180630,3,2
8866693660805,4,4
4536292884619,4,-2
17626816364933,3,18
17626820526469,2,18
17626820526219,3,7
4467036570373,3,2
22025399714054,3,2
17626816332171,3,4
8830723309741,3,3
8830727504645,3,5
8830723311237,3,3
8830723343109,5,4
8830723506309,3,5
8899442787077,2,4
17626816430213,3,11
17626820558981,1,18
17627353235589,3,17
17695535841413,3,17
4467573408011,4,-2
8830723342486,3,2
22024867037446,3,4
17626816332677,3,4
13331849035915,3,-3
26457269092491,3,2
17627353202827,3,3
4435361153285,4,-1
17626828914821,2,11
17627357397125,2,17
17695540002949,2,17
39617048887435,3,3
4570115833989,2,2
8830748475525,2,4
8832065487237,3,6
8832065519749,3,4
17695535808651,3,3
4776276279429,3,2
8832069681285,1,6
22024862843399,0,0
8830733828229,3,4
8830727585925,2,4
22093582319753,3,3
4467036569750,3,0
8831270666373,3,4
8900784963717,3,4
8833944535173,3,2
17628426944645,4,4
4776274182282,3,3
17627353203077,4,4
8830723310347,3,3
22059222581387,5,0
13264203300997,3,-3
22025399713929,3,2
8831260262533,2,4
8830727504022,2,2
22024862875785,3,2
13331849068677,1,0
4433213669778,3,5
4469720891525,3,-2
4432680993170,4,5
22024862843273,3,3
8830733795717,3,3
8899453272197,3,3
8830723391877,2,4
8832065486987,3,4
4432676864393,3,18
8830723391627,3,2
9002522001797,3,3
9002522034309,3,4
4432676831634,2,4
13228769821074,3,3
9002526195845,2,4
4501396275602,3,3
4432685187465,2,18
13332385906821,4,-2
22024862843653,3,3
22024862924933,2,3
4432680993545,3,4
22024862843030,3,0
4432945267081,3,18
4432949428617,2,18
4776274198661,2,-2
8899442786454,3,0
22024867037321,3,4
4432945234323,3,4
4432945234825,3,4
4467036569993,3,18
4467040731529,2,18
4432676799378,4,4
4432681009545,3,3
4776542617733,3,-2
4501396275977,3,2
13538007466117,3,-2
8830723342729,3,18
8830727504265,2,18
17832974762117,5,3
4432678896521,1,2
4467036537235,3,2
4432676800392,1,18
4432678896019,3,-2
4501398372745,3,-1
13229038256521,3,3
4432676815753,1,2
4433213670153,3,3
4432678928777,2,-1
44015095398539,3,3
22024873328773,3,3
8830723310473,3,4
4432676799377,0,2
4467573408137,2,3
4501664711049,3,3
4432676816772,1,18
4467036537611,3,0
13263129559433,3,2
13263129559813,3,2
9002522001547,3,3
4433750540681,3,0
4432678897540,1,18
8831260180873,3,3
4467036537737,3,5
8830723309971,3,0
4432676815251,2,0
4432676798885,3,3
4432945235844,1,18
4433215766921,3,-1
4433213671172,3,6
4432676800137,1,3
8831260181253,1,3
4432680994564,1,6
4467036538756,1,18
22024862843149,3,-1
8830733795467,3,2
4467036570500,3,5
4570115752329,3,0
4432676802180,1,3
8830723311492,1,18
4432685187972,4,4
4432680993672,0,4
4432676799251,2,-1
4467573408644,1,7
4432676831633,3,18
4467040732036,2,5
4432681025928,4,18
