hash,move,score - This file contains all positions with 4 or 5 moves on a 8x7 board.
72340194312913668,4,4
72340177133045508,4,2
216455360913933064,0,-2
72340172838079493,4,3
216456460425560836,4,1
72340172921964034,2,3
72340172838405634,3,5
288512954951860491,4,3
72340172871697922,3,6
144961816341053701,6,2
72340172838142729,2,-1
72340172838209028,5,5
145805141759557893,6,5
72340181428014082,3,6
72340177133175556,2,-2
144397775465940482,3,7
72342376156300036,4,0
360570548989853957,2,-1
72340181444789762,2,1
72340172854986242,3,3
144399965899260676,3,4
72621647848343042,3,6
72341272383260162,3,6
72340181428078082,3,4
72340172838079748,4,4
72340177166599682,3,4
72904222303126276,4,2
144399965899261442,3,6
72342371861399042,3,4
72340172871633922,3,6
72621656404723202,4,5
72340177133047042,4,0
72340172854856962,3,2
72340172838145538,3,6
144397766909560322,4,7
72340194312914434,4,5
72342371861335042,3,4
144679241852715275,4,0
360570548989788677,4,0
360570548989788426,4,3
72342371878110722,2,2
72340172838083074,3,3
72341280939640322,5,4
72903122791564802,3,4
72621647814919682,4,5
72623846838044162,2,5
72340172838145282,4,0
72621647814790402,4,3
72340172838143748,4,3
72903122791499268,3,5
72340172838339332,4,1
145806241271185667,4,1
73747547721630468,6,4
72340172838210562,4,4
145805141776335107,4,2
73747547721631234,3,3
72341272349967106,4,0
72340172854920962,1,3
72340177133111042,4,3
72340172871828226,3,0
72342376156300802,5,2
72340172922028802,3,5
72621647815049986,4,0
72903127086465796,1,-2
72340172855116546,3,-2
289075904905281798,3,3
144397766876007682,4,4
145805141759558147,4,3
72341272349771522,1,3
72340172838274818,1,1
72341272383324930,3,3
72340177133176322,4,3
72345670396216834,3,5
72340177166664450,2,3
72340181444854530,4,6
145805146054525187,5,-3
72340194312979202,4,6
72903122808341250,4,0
72903127086466562,4,3
72340181428208386,2,1
144397766909625090,3,4
144961820636020995,4,1
72341280939705090,4,5
72903122791500802,4,0
72341272366483202,1,0
72342371861529346,4,0
72340177149822722,5,0
72345670396281602,3,3
72340172888409858,3,0
216736835890643716,3,0
72342371878175490,3,3
72340172905186052,4,3
72340172854857218,2,3
360570548989788678,4,1
72903127086531330,4,-2
144961816357830915,3,-2
72340172905186818,3,3
72340177149952770,3,-2
72342376156365570,4,5
72903122791695106,4,-2
144397766943113986,4,3
72341272416813826,4,0
72621647881896706,3,0
72621656404787970,4,6
144960716829427202,3,4
144397766876071682,1,5
216455360913933828,3,3
144397775466005250,4,6
72340172855182082,2,5
72621647814854402,1,5
72340194329690882,5,0
72345670412993282,4,3
72341280956416770,3,3
72621647848407810,3,2
144961816341119235,5,-1
72341272366613250,3,-2
216455360913998596,1,0
72621647831566082,4,1
72340181478343426,3,-2
72340177200153346,3,-4
72342376173077250,3,2
72340172905251586,3,-3
216455365208900356,4,-4
72904222319903490,3,-2
72340172989072130,3,2
72903122808276482,2,3
72904222303191810,4,-2
144397766876267266,4,0
72340177216930562,5,2
144960721124458755,3,-4
72903127103243010,3,-2
